Designator;Mid X;Mid Y;Rotation;Layer
C1;150.392;-837.965;90.0;top
C12;121.1;-86.3;270.0;top
C13;163.5;-69.8;270.0;top
C14;161.0;-72.4;270.0;top
C15;163.5;-72.4;270.0;top
C16;160.7;-69.1;270.0;top
C17;146.836;-865.905;90.0;top
C18;146.836;-890.035;270.0;top
C19;146.836;-817.645;90.0;top
C2;149.8;-88.4;90.0;top
C20;146.836;-843.045;270.0;top
C21;126.5;-74.9;90.0;top
C22;100.3;-71.5;270.0;top
C23;101.5;-71.5;270.0;top
C24;103.1;-71.5;270.0;top
C25;105.2;-71.5;270.0;top
C26;214.7;-108.0;180.0;top
C27;214.7;-96.5;180.0;top
C28;214.7;-85.0;180.0;top
C29;193.98;-77.0;180.0;top
C3;159.6;-93.2;270.0;top
C30;213.8;-78.3;0.0;top
C31;210.9;-76.3;90.0;top
C33;208.9;-76.3;90.0;top
C36;207.5;-76.3;90.0;top
C39;205.801.793;-86.8;180.0;top
C4;153.2;-80.7;0.0;top
C40;205.9;-95.3;180.0;top
C41;205.9;-106.9;180.0;top
C42;206.4;-76.3;90.0;top
C43;119.8;-111.2;90.0;top
C44;189.5;-86.5;90.0;top
C45;196.0;-85.7;90.0;top
C46;187.5;-86.5;90.0;top
C47;185.5;-86.5;90.0;top
C48;193.0;-91.5;270.0;top
C5;147.7;-79.0;90.0;top
C51;194.5;-91.5;270.0;top
C54;192.0;-91.5;270.0;top
C55;191.0;-91.5;270.0;top
C56;198.5;-76.5;90.0;top
C57;196.5;-76.5;90.0;top
C58;200.5;-76.5;90.0;top
C59;204.0;-76.5;90.0;top
C6;151.2;-80.4;270.0;top
C60;202.5;-76.5;90.0;top
C61;193.98;-79.0;180.0;top
C66;193.98;-78.0;180.0;top
C67;109.0;-117.1;270.0;top
C68;111.0;-117.1;270.0;top
C69;112.9;-117.0;270.0;top
C7;149.7;-79.2;90.0;top
C70;114.5;-117.0;270.0;top
C71;116.0;-116.775;270.0;top
C75;117.0;-116.775;270.0;top
C76;118.0;-116.775;270.0;top
C77;112.45;-109.0;0.0;top
C78;116.45;-99.1;0.0;top
C79;116.45;-97.1;0.0;top
C8;148.49;-76.5;0.0;top
C80;116.45;-101.1;0.0;top
C81;109.8;-101.5;180.0;top
C82;109.8;-100.0;180.0;top
C83;109.8;-98.5;180.0;top
C87;109.8;-97.5;180.0;top
C88;109.8;-96.5;180.0;top
C89;137.5;-74.9;90.0;top
C9;119.4;-86.8;270.0;top
C90;161.5;-75.0;90.0;top
C91;162.5;-75.0;90.0;top
C92;118.2;-118.7;180.0;top
C93;118.2;-119.7;180.0;top
C94;118.18;-120.7;180.0;top
D1;82.5;-77.5;90.0;top
D2;82.5;-95.5;90.0;top
D3;133.0;-85.8;0.0;top
D4;125.45;-85.8;0.0;top
D7;82.5;-114.5;90.0;top
D8;96.9;-934.375;180.0;top
D9;215.6;-115.0;0.0;top
J1;183.0;-120.25;0.0;top
J10;129.0;-120.25;0.0;top
J11;521.225;-79.0;90.0;top
